      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
----  -----------  ---------------  ------------------  ---------------------  ------------------------  ---------------------------  ------------------------------  ---------------------------------  ------------------------------------  ---------------------------------------  ------------------------------------------  ---------------------------------------------  ------------------------------------------------  ----------------------------------------------------  -------------------------------------------------------  ----------------------------------------------------------  -------------------------------------------------------------  ----------------------------------------------------------------  -------------------------------------------------------------------  ----------------------------------------------------------------------
   3  Z/4          Z/4 + Z/4        Z/28                Z/8 + Z/8              Z/244                     Z/28 + Z/28                  Z/2188                          Z/80 + Z/80                        Z/19684                               Z/244 + Z/244                            Z/177148                                    Z/728 + Z/728                                  Z/1594324                                         Z/2188 + Z/2188                                       Z/14348908                                               Z/6560 + Z/6560                                             Z/129140164                                                    Z/19684 + Z/19684                                                 Z/1162261468                                                         Z/59048 + Z/59048
   5  Z/2 + Z/2    Z/8 + Z/4        Z/74 + Z/2          Z/80 + Z/8             Z/1522 + Z/2              Z/3848 + Z/4                 Z/39034 + Z/2                   Z/8160 + Z/48                      Z/977762 + Z/2                        Z/2441288 + Z/4                          Z/24407594 + Z/2                            Z/2347280 + Z/104                              Z/610360402 + Z/2                                 Z/52617832 + Z/116                                    Z/15258897754 + Z/2                                      Z/93497280 + Z/1632                                         Z/381468853442 + Z/2                                           Z/953673855368 + Z/4                                              Z/9536745685514 + Z/2                                                Z/11920931368400 + Z/8
   7  Z/8          Z/8 + Z/8        Z/344               Z/48 + Z/48            Z/16808                   Z/344 + Z/344                Z/823544                        Z/2400 + Z/2400                    Z/40353608                            Z/16808 + Z/16808                        Z/1977326744                                Z/117648 + Z/117648                            Z/96889010408                                     Z/823544 + Z/823544                                   Z/4747561509944                                          Z/5764800 + Z/5764800                                       Z/232630513987208                                              Z/40353608 + Z/40353608                                           Z/11398895185373144                                                  Z/282475248 + Z/282475248
  11  Z/12         Z/12 + Z/12      Z/1332              Z/120 + Z/120          Z/161052                  Z/1332 + Z/1332              Z/19487172                      Z/14640 + Z/14640                  Z/2357947692                          Z/161052 + Z/161052                      Z/285311670612                              Z/1771560 + Z/1771560                          Z/34522712143932                                  Z/19487172 + Z/19487172                               Z/4177248169415652                                       Z/214358880 + Z/214358880                                   Z/505447028499293772                                           Z/2357947692 + Z/2357947692                                       Z/61159090448414546292                                               Z/25937424600 + Z/25937424600
  13  Z/10 + Z/2   Z/40 + Z/4       Z/1090 + Z/2        Z/240 + Z/120          Z/185050 + Z/2            Z/1207720 + Z/4              Z/31369810 + Z/2                Z/3398880 + Z/240                  Z/5302306090 + Z/2                    Z/34464452200 + Z/4                      Z/896081512930 + Z/2                        Z/64716883920 + Z/360                          Z/151437556923130 + Z/2                           Z/984344108005480 + Z/4                               Z/25592946320926450 + Z/2                                Z/11649450469440 + Z/57120                                  Z/4325207957216516170 + Z/2                                    Z/28113851740110299560 + Z/4                                      Z/730960145194435626370 + Z/2                                        Z/31674939624483265200 + Z/600
  17  Z/4 + Z/4    Z/40 + Z/8       Z/1252 + Z/4        Z/1040 + Z/80          Z/354404 + Z/4            Z/3017320 + Z/8              Z/102594692 + Z/4               Z/14532960 + Z/480                 Z/29646830404 + Z/4                   Z/251998964200 + Z/8                     Z/8567975341732 + Z/4                       Z/560213735120 + Z/1040                        Z/2476144510372004 + Z/4                          Z/21047228221568680 + Z/8                             Z/715605762447554372 + Z/4                               Z/50688741547504320 + Z/960                                 Z/206810065483861123204 + Z/4                                  Z/1757885556499625838760 + Z/8                                    Z/59768108921043764224612 + Z/4                                      Z/100599787293238173200 + Z/40400
  19  Z/20         Z/20 + Z/20      Z/6860              Z/360 + Z/360          Z/2476100                 Z/6860 + Z/6860              Z/893871740                     Z/130320 + Z/130320                Z/322687697780                        Z/2476100 + Z/2476100                    Z/116490258898220                           Z/47045880 + Z/47045880                        Z/42052983462257060                               Z/893871740 + Z/893871740                             Z/15181127029874798300                                   Z/16983563040 + Z/16983563040                               Z/5480386857784802185940                                       Z/322687697780 + Z/322687697780                                   Z/1978419655660313589123980                                          Z/6131066257800 + Z/6131066257800
  23  Z/24         Z/24 + Z/24      Z/12168             Z/528 + Z/528          Z/6436344                 Z/12168 + Z/12168            Z/3404825448                    Z/279840 + Z/279840                Z/1801152661464                       Z/6436344 + Z/6436344                    Z/952809757913928                           Z/148035888 + Z/148035888                      Z/504036361936467384                              Z/3404825448 + Z/3404825448                           Z/266635235464391245608                                  Z/78310985280 + Z/78310985280                               Z/141050039560662968926104                                     Z/1801152661464 + Z/1801152661464                                 Z/74615470927590710561908488                                         Z/41426511213648 + Z/41426511213648
  29  Z/10 + Z/2   Z/40 + Z/20      Z/12130 + Z/2       Z/17680 + Z/40         Z/10257050 + Z/2          Z/29742760 + Z/20            Z/8625054770 + Z/2              Z/297766560 + Z/1680               Z/7253576645290 + Z/2                 Z/4207072656200 + Z/100                  Z/6100254938388610 + Z/2                    Z/680413044959440 + Z/520                      Z/5130314355735964730 + Z/2                       Z/14877911632795149160 + Z/20                         Z/4314594373721166573650 + Z/2                           Z/4381065715675172160 + Z/57120                             Z/3628573868362388826135370 + Z/2                              Z/10522864218257381481993640 + Z/20                               Z/3051630623294950075544489890 + Z/2                                 Z/884972880755547750214552400 + Z/200
